Key,r_a,r_p,p_a_distance,a_p_distance
91787.0,26540226.100798886,18605466.450954515,-8269908.216957863,-293894.017654147
91104.0,26922131.3833481,19109782.39447865,-7765592.27343373,-675799.3002033606
91861.0,26390094.680393137,18362303.5060084,-8513071.161903977,-143762.59724839777
91368.0,26304781.037964456,18153545.02913543,-8721829.63877695,-58448.95481971651
91438.0,26296354.963453077,18148828.729215737,-8726545.938696641,-50022.88030833751
91518.0,26924459.55705397,19112771.34870196,-7762603.319210418,-678127.473909229
91401.0,26965621.720319167,26159496.77306975,-715877.8948426284,-719289.6371744275
91383.0,27391270.953404136,27378063.705662165,502689.03774978593,-1144938.8702593967
91618.0,151419721.2020376,10806979.283695111,-16068395.384217268,-125173389.11889286
91475.0,26933121.027062763,26188967.994917728,-686406.6729946509,-686788.9439180233
91714.0,25511491.408224538,25506195.81760077,-1369178.8503116071,734840.6749202013
91821.0,25535714.88932722,25481628.086291507,-1393746.581620872,710617.1938175187
91447.0,34654485.21751827,6665126.03015564,-20210248.63775674,-8408153.13437353
91599.0,187854404.12514776,7783467.88880936,-19091906.77910302,-161608072.04200304
